Id,Question,Answer,Key-Words,Location,Target
679,606 numara kardeşköy ücreti ne kadar?,"Adü ile Kardeşköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır","606, kardeşköy, numara, ücret",,
680,606 numara kardeşköy ücreti nedir?,"Adü ile Kardeşköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır","606, kardeşköy, numara, ücret",,
681,606 numaralı otobüsün kardeşköy ücreti ne kadar?,"Adü ile Kardeşköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır","606, kardeşköy, otobüs, ücret",,
682,606 numaralı otobüsün kardeşköy ücreti nedir?,"Adü ile Kardeşköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır","606, kardeşköy, otobüs, ücret",,
683,Adü- kardeşköy arası ne kadar?,"Adü ile Kardeşköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır","adü, kardeşköy, ne, kadar",,
684,Adü- kardeşköy arası fiyat nedir?,"Adü ile Kardeşköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır","adü, kardeşköy, fiyat",,
685,Adü- kardeşköy arası ücret nedir?,"Adü ile Kardeşköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır","adü, kardeşköy, ücret",,
686,Adü- kardeşköy arası otobüs ne kadar?,"Adü ile Kardeşköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır","adü, kardeşköy, otobüs, ne, kadar",,
687,Adü- kardeşköy arası otobüs ücreti ne kadar?,"Adü ile Kardeşköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır","adü, kardeşköy, otobüs, ücret",,
688,Adü- kardeşköy arası otobüs ücreti nedir?,"Adü ile Kardeşköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır","adü, kardeşköy, otobüs, ücret",,
689,Adü- kardeşköy arası otobüs fiyatı ne kadar?,"Adü ile Kardeşköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır","adü, kardeşköy, otobüs, fiyat",,
690,Adü- kardeşköy arası otobüs fiyatı nedir?,"Adü ile Kardeşköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır","adü, kardeşköy, otobüs, fiyat",,
691,Adü- kardeşköy arası tam ne kadar?,Adü ile Kardeşköy arası tam ücret 4 liradır.,"adü, kardeşköy, tam, ne, kadar",,
692,Adü- kardeşköy arası tam ücreti ne kadar?,Adü ile Kardeşköy arası tam ücret 4 liradır.,"adü, kardeşköy, tam, ücret",,
693,Adü- kardeşköy arası tam ücreti nedir?,Adü ile Kardeşköy arası tam ücret 4 liradır.,"adü, kardeşköy, tam, ücret",,
694,Adü- kardeşköy arası tam fiyatı ne kadar?,Adü ile Kardeşköy arası tam ücret 4 liradır.,"adü, kardeşköy, tam, fiyat",,
695,Adü- kardeşköy arası tam fiyatı nedir?,Adü ile Kardeşköy arası tam ücret 4 liradır.,"adü, kardeşköy, tam, fiyat",,
696,Adü- kardeşköy arası indirimli ne kadar?,Adü ile Kardeşköy arası indirimli ücret 2.65 liradır.,"adü, kardeşköy, indirimli, ne, kadar",,
697,Adü- kardeşköy arası indirimli ücreti ne kadar?,Adü ile Kardeşköy arası indirimli ücret 2.65 liradır.,"adü, kardeşköy, indirimli, ücret",,
698,Adü- kardeşköy arası indirimli ücreti nedir?,Adü ile Kardeşköy arası indirimli ücret 2.65 liradır.,"adü, kardeşköy, indirimli, ücret",,
699,Adü- kardeşköy arası indirimli fiyatı ne kadar?,Adü ile Kardeşköy arası indirimli ücret 2.65 liradır.,"adü, kardeşköy, indirimli, fiyat",,
700,Adü- kardeşköy arası indirimli fiyatı nedir?,Adü ile Kardeşköy arası indirimli ücret 2.65 liradır.,"adü, kardeşköy, indirimli, fiyat",,
701,Adü- kardeşköy arası engelli ne kadar?,Adü ile Kardeşköy arası engelli ücreti 2.65 liradır.,"adü, kardeşköy, engelli, ne, kadar",,
702,Adü- kardeşköy arası engelli ücreti ne kadar?,Adü ile Kardeşköy arası engelli ücreti 2.65 liradır.,"adü, kardeşköy, engelli, ücret",,
703,Adü- kardeşköy arası engelli ücreti nedir?,Adü ile Kardeşköy arası engelli ücreti 2.65 liradır.,"adü, kardeşköy, engelli, ücret",,
704,Adü- kardeşköy arası engelli fiyatı ne kadar?,Adü ile Kardeşköy arası engelli ücreti 2.65 liradır.,"adü, kardeşköy, engelli, fiyat",,
705,Adü- kardeşköy arası engelli fiyatı nedir?,Adü ile Kardeşköy arası engelli ücreti 2.65 liradır.,"adü, kardeşköy, engelli, fiyat",,
706,Adü- kardeşköy arası öğrenci ne kadar?,Adü ile Kardeşköy arası öğrenci ücreti 2.65 liradır.,"adü, kardeşköy, öğrenci, ne, kadar",,
707,Adü- kardeşköy arası öğrenci ücreti ne kadar?,Adü ile Kardeşköy arası öğrenci ücreti 2.65 liradır.,"adü, kardeşköy, öğrenci, ücret",,
708,Adü- kardeşköy arası öğrenci ücreti nedir?,Adü ile Kardeşköy arası öğrenci ücreti 2.65 liradır.,"adü, kardeşköy, öğrenci, ücret",,
709,Adü- kardeşköy arası öğrenci fiyat ne kadar?,Adü ile Kardeşköy arası öğrenci ücreti 2.65 liradır.,"adü, kardeşköy, öğrenci, fiyat",,
710,Adü- kardeşköy arası öğrenci fiyatı nedir?,Adü ile Kardeşköy arası öğrenci ücreti 2.65 liradır.,"adü, kardeşköy, öğrenci, fiyat",,
711,606 kızılcaköy e ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, ne, kadar",,
712,606 numara kızılcaköy e ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, numara, ne, kadar",,
713,606 numaralı otobüs kızılcaköy e ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, otobüs, ne, kadar",,
714,606 kızılcaköy e fiyat ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, fiyat",,
715,606 numara kızılcaköy fiyat ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, numara, fiyat",,
716,606 numara kızılcaköy fiyatı nedir?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, numara, fiyat",,
717,606 numaralı otobüsün kızılcaköy fiyatı ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, otobüs, fiyat",,
718,606 numaralı otobüsün kızılcaköy fiyatı nedir?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, otobüs, fiyat",,
719,606 kızılcaköy ücret ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, ücret",,
720,606 numara kızılcaköy ücreti ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, numara, ücret",,
721,606 numara kızılcaköy ücreti nedir?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, numara, ücret",,
722,606 numaralı otobüsün kızılcaköy ücreti ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, otobüs, ücret",,
723,606 numaralı otobüsün kızılcaköy ücreti nedir?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, kızılcaköy, otobüs, ücret",,
724,Adü- kızılcaköy arası ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, kızılcaköy, ne, kadar",,
725,Adü- kızılcaköy arası fiyat nedir?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, kızılcaköy, fiyat",,
726,Adü- kızılcaköy arası ücret nedir?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, kızılcaköy, ücret",,
727,Adü- kızılcaköy arası otobüs ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, kızılcaköy, otobüs, ne, kadar",,
728,Adü- kızılcaköy arası otobüs ücreti ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, kızılcaköy, otobüs, ücret",,
729,Adü- kızılcaköy arası otobüs ücreti nedir?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, kızılcaköy, otobüs, ücret",,
730,Adü- kızılcaköy arası otobüs fiyatı ne kadar?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, kızılcaköy, otobüs, fiyat",,
731,Adü- kızılcaköy arası otobüs fiyatı nedir?,"Adü ile Kızılcaköy arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, kızılcaköy, otobüs, fiyat",,
732,Adü- kızılcaköy arası tam ne kadar?,Adü ile Kızılcaköy arası tam ücret 4 liradır.,"adü, kızılcaköy, tam, ne, kadar",,
733,Adü- kızılcaköy arası tam ücreti ne kadar?,Adü ile Kızılcaköy arası tam ücret 4 liradır.,"adü, kızılcaköy, tam, ücret",,
734,Adü- kızılcaköy arası tam ücreti nedir?,Adü ile Kızılcaköy arası tam ücret 4 liradır.,"adü, kızılcaköy, tam, ücret",,
735,Adü- kızılcaköy arası tam fiyatı ne kadar?,Adü ile Kızılcaköy arası tam ücret 4 liradır.,"adü, kızılcaköy, tam, fiyat",,
736,Adü- kızılcaköy arası tam fiyatı nedir?,Adü ile Kızılcaköy arası tam ücret 4 liradır.,"adü, kızılcaköy, tam, fiyat",,
737,Adü- kızılcaköy arası indirimli ne kadar?,Adü ile Kızılcaköy arası indirimli ücret 2.65 liradır.,"adü, kızılcaköy, indirimli, ne, kadar",,
738,Adü- kızılcaköy arası indirimli ücreti ne kadar?,Adü ile Kızılcaköy arası indirimli ücret 2.65 liradır.,"adü, kızılcaköy, indirimli, ücret",,
739,Adü- kızılcaköy arası indirimli ücreti nedir?,Adü ile Kızılcaköy arası indirimli ücret 2.65 liradır.,"adü, kızılcaköy, indirimli, ücret",,
740,Adü- kızılcaköy arası indirimli fiyatı ne kadar?,Adü ile Kızılcaköy arası indirimli ücret 2.65 liradır.,"adü, kızılcaköy, indirimli, fiyat",,
741,Adü- kızılcaköy arası indirimli fiyatı nedir?,Adü ile Kızılcaköy arası indirimli ücret 2.65 liradır.,"adü, kızılcaköy, indirimli, fiyat",,
742,Adü- kızılcaköy arası engelli ne kadar?,Adü ile Kızılcaköy arası engelli ücreti 2.65 liradır.,"adü, kızılcaköy, engelli, ne, kadar",,
743,Adü- kızılcaköy arası engelli ücreti ne kadar?,Adü ile Kızılcaköy arası engelli ücreti 2.65 liradır.,"adü, kızılcaköy, engelli, ücret",,
744,Adü- kızılcaköy arası engelli ücreti nedir?,Adü ile Kızılcaköy arası engelli ücreti 2.65 liradır.,"adü, kızılcaköy, engelli, ücret",,
745,Adü- kızılcaköy arası engelli fiyatı ne kadar?,Adü ile Kızılcaköy arası engelli ücreti 2.65 liradır.,"adü, kızılcaköy, engelli, fiyat",,
746,Adü- kızılcaköy arası engelli fiyatı nedir?,Adü ile Kızılcaköy arası engelli ücreti 2.65 liradır.,"adü, kızılcaköy, engelli, fiyat",,
747,Adü- kızılcaköy arası öğrenci ne kadar?,Adü ile Kızılcaköy arası öğrenci ücreti 2.65 liradır.,"adü, kızılcaköy, öğrenci, ne, kadar",,
748,Adü- kızılcaköy arası öğrenci ücreti ne kadar?,Adü ile Kızılcaköy arası öğrenci ücreti 2.65 liradır.,"adü, kızılcaköy, öğrenci, ücret",,
749,Adü- kızılcaköy arası öğrenci ücreti nedir?,Adü ile Kızılcaköy arası öğrenci ücreti 2.65 liradır.,"adü, kızılcaköy, öğrenci, ücret",,
750,Adü- kızılcaköy arası öğrenci fiyat ne kadar?,Adü ile Kızılcaköy arası öğrenci ücreti 2.65 liradır.,"adü, kızılcaköy, öğrenci, fiyat",,
751,Adü- kızılcaköy arası öğrenci fiyatı nedir?,Adü ile Kızılcaköy arası öğrenci ücreti 2.65 liradır.,"adü, kızılcaköy, öğrenci, fiyat",,
752,606 dereağzı na ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, ne, kadar",,
753,606 numara dereağzı na ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, numara, ne, kadar",,
754,606 numaralı otobüs dereağzı na ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, otobüs, ne, kadar",,
755,606 dereağzı na fiyat ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, fiyat",,
756,606 numara dereağzı fiyat ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, numara, fiyat",,
757,606 numara dereağzı fiyatı nedir?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, numara, fiyat",,
758,606 numaralı otobüsün dereağzı fiyatı ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, otobüs, fiyat",,
759,606 numaralı otobüsün dereağzı fiyatı nedir?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, otobüs, fiyat",,
760,606 dereağzı ücret ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, ücret",,
761,606 numara dereağzı ücreti ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, numara, ücret",,
762,606 numara dereağzı ücreti nedir?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, numara, ücret",,
763,606 numaralı otobüsün dereağzı ücreti ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, otobüs, ücret",,
764,606 numaralı otobüsün dereağzı ücreti nedir?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","606, dereağzı, otobüs, ücret",,
765,Adü- dereağzı arası ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, dereağzı, ne, kadar",,
766,Adü- dereağzı arası fiyat nedir?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, dereağzı, fiyat",,
767,Adü- dereağzı arası ücret nedir?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, dereağzı, ücret",,
768,Adü- dereağzı arası otobüs ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, dereağzı, otobüs, ne, kadar",,
769,Adü- dereağzı arası otobüs ücreti ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, dereağzı, otobüs, ücret",,
770,Adü- dereağzı arası otobüs ücreti nedir?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, dereağzı, otobüs, ücret",,
771,Adü- dereağzı arası otobüs fiyatı ne kadar?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, dereağzı, otobüs, fiyat",,
772,Adü- dereağzı arası otobüs fiyatı nedir?,"Adü ile Dereağzı arası tam ücret 4 lira, indirimli ücret 2.65 liradır.","adü, dereağzı, otobüs, fiyat",,
773,Adü- dereağzı arası tam ne kadar?,Adü ile Dereağzı arası tam ücret 4 liradır.,"adü, dereağzı, tam, ne, kadar",,
774,Adü- dereağzı arası tam ücreti ne kadar?,Adü ile Dereağzı arası tam ücret 4 liradır.,"adü, dereağzı, tam, ücret",,
775,Adü- dereağzı arası tam ücreti nedir?,Adü ile Dereağzı arası tam ücret 4 liradır.,"adü, dereağzı, tam, ücret",,
776,Adü- dereağzı arası tam fiyatı ne kadar?,Adü ile Dereağzı arası tam ücret 4 liradır.,"adü, dereağzı, tam, fiyat",,
777,Adü- dereağzı arası tam fiyatı nedir?,Adü ile Dereağzı arası tam ücret 4 liradır.,"adü, dereağzı, tam, fiyat",,
778,Adü- dereağzı arası indirimli ne kadar?,Adü ile Dereağzı arası indirimli ücret 2.65 liradır.,"adü, dereağzı, indirimli, ne, kadar",,
779,Adü- dereağzı arası indirimli ücreti ne kadar?,Adü ile Dereağzı arası indirimli ücret 2.65 liradır.,"adü, dereağzı, indirimli, ücret",,
780,Adü- dereağzı arası indirimli ücreti nedir?,Adü ile Dereağzı arası indirimli ücret 2.65 liradır.,"adü, dereağzı, indirimli, ücret",,
781,Adü- dereağzı arası indirimli fiyatı ne kadar?,Adü ile Dereağzı arası indirimli ücret 2.65 liradır.,"adü, dereağzı, indirimli, fiyat",,
782,Adü- dereağzı arası indirimli fiyatı nedir?,Adü ile Dereağzı arası indirimli ücret 2.65 liradır.,"adü, dereağzı, indirimli, fiyat",,
783,Adü- dereağzı arası engelli ne kadar?,Adü ile Dereağzı arası engelli ücreti 2.65 liradır.,"adü, dereağzı, engelli, ne, kadar",,
784,Adü- dereağzı arası engelli ücreti ne kadar?,Adü ile Dereağzı arası engelli ücreti 2.65 liradır.,"adü, dereağzı, engelli, ücret",,
785,Adü- dereağzı arası engelli ücreti nedir?,Adü ile Dereağzı arası engelli ücreti 2.65 liradır.,"adü, dereağzı, engelli, ücret",,
786,Adü- dereağzı arası engelli fiyatı ne kadar?,Adü ile Dereağzı arası engelli ücreti 2.65 liradır.,"adü, dereağzı, engelli, fiyat",,
787,Adü- dereağzı arası engelli fiyatı nedir?,Adü ile Dereağzı arası engelli ücreti 2.65 liradır.,"adü, dereağzı, engelli, fiyat",,
788,Adü- dereağzı arası öğrenci ne kadar?,Adü ile Dereağzı arası öğrenci ücreti 2.65 liradır.,"adü, dereağzı, öğrenci, ne, kadar",,
789,Adü- dereağzı arası öğrenci ücreti ne kadar?,Adü ile Dereağzı arası öğrenci ücreti 2.65 liradır.,"adü, dereağzı, öğrenci, ücret",,
790,Adü- dereağzı arası öğrenci ücreti nedir?,Adü ile Dereağzı arası öğrenci ücreti 2.65 liradır.,"adü, dereağzı, öğrenci, ücret",,
791,Adü- dereağzı arası öğrenci fiyat ne kadar?,Adü ile Dereağzı arası öğrenci ücreti 2.65 liradır.,"adü, dereağzı, öğrenci, fiyat",,
792,Adü- dereağzı arası öğrenci fiyatı nedir?,Adü ile Dereağzı arası öğrenci ücreti 2.65 liradır.,"adü, dereağzı, öğrenci, fiyat",,
793,607 germencik e ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, ne, kadar",,
794,607 numara germencik e ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, numara, ne, kadar",,
795,607 numaralı otobüs germencik e ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, otobüs, ne, kadar",,
796,607 germencik e fiyat ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, fiyat",,
797,607 numara germencik fiyat ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, numara, fiyat",,
798,607 numara germencik fiyatı nedir?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, numara, fiyat",,
799,607 numaralı otobüsün germencik fiyatı ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, otobüs, fiyat",,
800,607 numaralı otobüsün germencik fiyatı nedir?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, otobüs, fiyat",,
801,607 germencik ücret ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, ücret",,
802,607 numara germencik ücreti ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, numara, ücret",,
803,607 numara germencik ücreti nedir?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, numara, ücret",,
804,607 numaralı otobüsün germencik ücreti ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, otobüs, ücret",,
805,607 numaralı otobüsün germencik ücreti nedir?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, germencik, otobüs, ücret",,
806,Adü- germencik arası ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","adü, germencik, ne, kadar",,
807,Adü- germencik arası fiyat nedir?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","adü, germencik, fiyat",,
808,Adü- germencik arası ücret nedir?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","adü, germencik, ücret",,
809,Adü- germencik arası otobüs ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","adü, germencik, otobüs, ne, kadar",,
810,Adü- germencik arası otobüs ücreti ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","adü, germencik, otobüs, ücret",,
811,Adü- germencik arası otobüs ücreti nedir?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","adü, germencik, otobüs, ücret",,
812,Adü- germencik arası otobüs fiyatı ne kadar?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","adü, germencik, otobüs, fiyat",,
813,Adü- germencik arası otobüs fiyatı nedir?,"Adü ile Germencik arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","adü, germencik, otobüs, fiyat",,
814,Adü- germencik arası tam ne kadar?,Adü ile Germencik arası tam ücret 5.5 liradır.,"adü, germencik, tam, ne, kadar",,
815,Adü- germencik arası tam ücreti ne kadar?,Adü ile Germencik arası tam ücret 5.5 liradır.,"adü, germencik, tam, ücret",,
816,Adü- germencik arası tam ücreti nedir?,Adü ile Germencik arası tam ücret 5.5 liradır.,"adü, germencik, tam, ücret",,
817,Adü- germencik arası tam fiyatı ne kadar?,Adü ile Germencik arası tam ücret 5.5 liradır.,"adü, germencik, tam, fiyat",,
818,Adü- germencik arası tam fiyatı nedir?,Adü ile Germencik arası tam ücret 5.5 liradır.,"adü, germencik, tam, fiyat",,
819,Adü- germencik arası indirimli ne kadar?,Adü ile Germencik arası indirimli ücret 4 liradır.,"adü, germencik, indirimli, ne, kadar",,
820,Adü- germencik arası indirimli ücreti ne kadar?,Adü ile Germencik arası indirimli ücret 4 liradır.,"adü, germencik, indirimli, ücret",,
821,Adü- germencik arası indirimli ücreti nedir?,Adü ile Germencik arası indirimli ücret 4 liradır.,"adü, germencik, indirimli, ücret",,
822,Adü- germencik arası indirimli fiyatı ne kadar?,Adü ile Germencik arası indirimli ücret 4 liradır.,"adü, germencik, indirimli, fiyat",,
823,Adü- germencik arası indirimli fiyatı nedir?,Adü ile Germencik arası indirimli ücret 4 liradır.,"adü, germencik, indirimli, fiyat",,
824,Adü- germencik arası engelli ne kadar?,Adü ile Germencik arası engelli ücreti 4 liradır.,"adü, germencik, engelli, ne, kadar",,
825,Adü- germencik arası engelli ücreti ne kadar?,Adü ile Germencik arası engelli ücreti 4 liradır.,"adü, germencik, engelli, ücret",,
826,Adü- germencik arası engelli ücreti nedir?,Adü ile Germencik arası engelli ücreti 4 liradır.,"adü, germencik, engelli, ücret",,
827,Adü- germencik arası engelli fiyatı ne kadar?,Adü ile Germencik arası engelli ücreti 4 liradır.,"adü, germencik, engelli, fiyat",,
828,Adü- germencik arası engelli fiyatı nedir?,Adü ile Germencik arası engelli ücreti 4 liradır.,"adü, germencik, engelli, fiyat",,
829,Adü- germencik arası öğrenci ne kadar?,Adü ile Germencik arası öğrenci ücreti 4 liradır.,"adü, germencik, öğrenci, ne, kadar",,
830,Adü- germencik arası öğrenci ücreti ne kadar?,Adü ile Germencik arası öğrenci ücreti 4 liradır.,"adü, germencik, öğrenci, ücret",,
831,Adü- germencik arası öğrenci ücreti nedir?,Adü ile Germencik arası öğrenci ücreti 4 liradır.,"adü, germencik, öğrenci, ücret",,
832,Adü- germencik arası öğrenci fiyat ne kadar?,Adü ile Germencik arası öğrenci ücreti 4 liradır.,"adü, germencik, öğrenci, fiyat",,
833,Adü- germencik arası öğrenci fiyatı nedir?,Adü ile Germencik arası öğrenci ücreti 4 liradır.,"adü, germencik, öğrenci, fiyat",,
834,607 hıdırbeyli ye ne kadar?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, ne, kadar",,
835,607 numara hıdırbeyli ye ne kadar?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, numara, ne, kadar",,
836,607 numaralı otobüs hıdırbeyli ye ne kadar?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, otobüs, ne, kadar",,
837,607 hıdırbeyli ye fiyat ne kadar?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, fiyat",,
838,607 numara hıdırbeyli fiyat ne kadar?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, numara, fiyat",,
839,607 numara hıdırbeyli fiyatı nedir?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, numara, fiyat",,
840,607 numaralı otobüsün hıdırbeyli fiyatı ne kadar?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, otobüs, fiyat",,
841,607 numaralı otobüsün hıdırbeyli fiyatı nedir?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, otobüs, fiyat",,
842,607 hıdırbeyli ücret ne kadar?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, ücret",,
843,607 numara hıdırbeyli ücreti ne kadar?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, numara, ücret",,
844,607 numara hıdırbeyli ücreti nedir?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, numara, ücret",,
845,607 numaralı otobüsün hıdırbeyli ücreti ne kadar?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, otobüs, ücret",,
846,607 numaralı otobüsün hıdırbeyli ücreti nedir?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","607, hıdırbeyli, otobüs, ücret",,
847,Adü- hıdırbeyli arası ne kadar?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","adü, hıdırbeyli, ne, kadar",,
848,Adü- hıdırbeyli arası fiyat nedir?,"Adü ile Hıdırbeyli arası tam ücret 5.5 lira, indirimli ücret 4 liradır.","adü, hıdırbeyli, fiyat",,
